sample,site,sample_type,date,lizard_id,veg,count
DV-DEMAR-518_02,DEMAR,diet_veg,09-Nov-14,DEMAR-518-02,flower_parts,1
DV-DEMAR-518_13,DEMAR,diet_veg,09-Nov-14,DEMAR-518-13,seed,1
DV-EMONI-516_26,EMONI,diet_veg,16-May-14,EMONI-516-26,stick,2
DV-MALYKO-602_17,MALYKO,diet_veg,07-Oct-14,MALYKO-602-17,leaf,1
DV-MALYKO-602_17,MALYKO,diet_veg,07-Oct-14,MALYKO-602-17,stick,1
DV-MALYKO-602_20,MALYKO,diet_veg,07-Oct-14,MALYKO-602-20,seed,1
DV-MALYKO-602_02,MALYKO,diet_veg,07-Oct-14,MALYKO-602-02,leaf,1
DV-MALYKO-602_10,MALYKO,diet_veg,07-Oct-14,MALYKO-602-10,berry,5
DV-MALYKO-602_10,MALYKO,diet_veg,07-Oct-14,MALYKO-602-10,flower_parts,1
DV-MALYKO-602_12,MALYKO,diet_veg,07-Oct-14,MALYKO-602-12,berry,1
DV-NALYKO-601_02,NALYKO,diet_veg,01-Oct-14,NALYKO-601-02,leaf,1
DV-SMONI-522_22,SMONI,diet_veg,07-Nov-14,SMONI-522-22,seed,2
DV-SMONI-522_34,SMONI,diet_veg,07-Nov-14,SMONI-522-34,flower_parts,3
DV-SMONI-522_19,SMONI,diet_veg,07-Nov-14,SMONI-522-19,flower_parts,1
DV-SMONI-522_10,SMONI,diet_veg,07-Nov-14,SMONI-522-10,leaf,1
DV-VIGLA-517_08,VIGLA,diet_veg,07-Nov-14,VIGLA-517-08,flower_parts,1
DV-VIGLA-517_21,VIGLA,diet_veg,07-Nov-14,VIGLA-517-21,stick,1
DV-WMONI-523_34,WMONI,diet_veg,08-Nov-14,WMONI-523-34,stick,1
DV-WMONI-523_09,WMONI,diet_veg,08-Nov-14,WMONI-523-09,stick,1
DV-WMONI-523_11,WMONI,diet_veg,08-Nov-14,WMONI-523-11,stick,1
DV-WMONI-523_25,WMONI,diet_veg,08-Nov-14,WMONI-523-25,flower_parts,1
